Package	Version	LibPath
expm	1.0-1	~/.local/lib/R/site-library
fansi	1.0.7	~/.local/lib/R/site-library
farver	2.1.2	~/.local/lib/R/site-library
fastGHQuad	1.0.1	~/.local/lib/R/site-library
fastmap	1.2.0	~/.local/lib/R/site-library
fftwtools	0.9-11	~/.local/lib/R/site-library
fields	17.3	~/.local/lib/R/site-library
fmesher	0.8.0	~/.local/lib/R/site-library
FNN	1.1.4.1	~/.local/lib/R/site-library
fontawesome	0.5.3	~/.local/lib/R/site-library
foreach	1.5.2	~/.local/lib/R/site-library
forecast	9.0.2	~/.local/lib/R/site-library
Formula	1.2-6	~/.local/lib/R/site-library
fracdiff	1.5-4	~/.local/lib/R/site-library
FRK	2.3.2	~/.local/lib/R/site-library
fs	2.1.0	~/.local/lib/R/site-library
GeneralizedHyperbolic	0.8-7	~/.local/lib/R/site-library
generics	0.1.4	~/.local/lib/R/site-library
geometries	0.2.5	~/.local/lib/R/site-library
ggplot2	4.0.3	~/.local/lib/R/site-library
ggpubr	1.0.0	~/.local/lib/R/site-library
ggrepel	0.9.8	~/.local/lib/R/site-library
ggsci	5.2.0	~/.local/lib/R/site-library
ggsignif	0.6.4	~/.local/lib/R/site-library
gitcreds	0.1.2	~/.local/lib/R/site-library
glue	1.8.1	~/.local/lib/R/site-library
goftest	1.2-3	~/.local/lib/R/site-library
GpGp	1.0.0	~/.local/lib/R/site-library
gridExtra	2.3.1	~/.local/lib/R/site-library
gstat	2.1-6	~/.local/lib/R/site-library
gtable	0.3.6	~/.local/lib/R/site-library
highr	0.12	~/.local/lib/R/site-library
Hmisc	5.3-0	~/.local/lib/R/site-library
hms	1.1.4	~/.local/lib/R/site-library
htmlTable	2.5.0	~/.local/lib/R/site-library
htmltools	0.5.9	~/.local/lib/R/site-library
htmlwidgets	1.6.4	~/.local/lib/R/site-library
igraph	2.3.3	~/.local/lib/R/site-library
ini	0.3.1	~/.local/lib/R/site-library
INLA	25.10.19	~/.local/lib/R/site-library
inlabru	2.15.0	~/.local/lib/R/site-library
INLAspacetime	0.1.14	~/.local/lib/R/site-library
INLAtools	0.1.5	~/.local/lib/R/site-library
intervals	0.15.5	~/.local/lib/R/site-library
isoband	0.3.0	~/.local/lib/R/site-library
iterators	1.0.14	~/.local/lib/R/site-library
jquerylib	0.1.4	~/.local/lib/R/site-library
jsonify	1.2.3	~/.local/lib/R/site-library
jsonlite	2.0.0	~/.local/lib/R/site-library
KFAS	1.6.0	~/.local/lib/R/site-library
knitr	1.52	~/.local/lib/R/site-library
labeling	0.4.3	~/.local/lib/R/site-library
languageserver	0.3.18	~/.local/lib/R/site-library
later	1.4.8	~/.local/lib/R/site-library
LatticeKrig	9.4.1	~/.local/lib/R/site-library
lazyeval	0.2.3	~/.local/lib/R/site-library
leaflet.providers	3.0.0	~/.local/lib/R/site-library
lifecycle	1.0.5	~/.local/lib/R/site-library
linprog	0.9-6	~/.local/lib/R/site-library
lintr	3.4.0	~/.local/lib/R/site-library
litedown	0.11	~/.local/lib/R/site-library
lme4	2.0-6	~/.local/lib/R/site-library
lmtest	0.9-40	~/.local/lib/R/site-library
logger	0.4.3	~/.local/lib/R/site-library
lpSolve	5.6.23	~/.local/lib/R/site-library
lubridate	1.9.5	~/.local/lib/R/site-library
magic	1.6-1	~/.local/lib/R/site-library
magrittr	2.0.5	~/.local/lib/R/site-library
maps	3.4.3	~/.local/lib/R/site-library
markdown	2.0	~/.local/lib/R/site-library
