Order	Package	BeforeVersion	Version	URL	SHA256
77	spam64	-	2.11-4	https://stat.ethz.ch/CRAN/src/contrib/spam64_2.11-4.tar.gz	83c98b35bad1c05b46fbfb513b2078cc3e80a66103a831c872d3bf8d7d60f032
78	LatticeKrig	-	9.4.1	https://stat.ethz.ch/CRAN/src/contrib/LatticeKrig_9.4.1.tar.gz	27e221d22eacfd9d9b0036a40e0ab32f6607805198d2db090283f0d72674c77d
79	sparseinv	-	0.1.4	https://stat.ethz.ch/CRAN/src/contrib/sparseinv_0.1.4.tar.gz	67b8d832b2ead2d1eac3cf3f834cac99073810e81bf24b162dc799293695f1a3
80	spatial	7.3-18	7.3-19	https://stat.ethz.ch/CRAN/src/contrib/spatial_7.3-19.tar.gz	6d9d26a64709d7da453ba3b31df8c9e9dbee64fd1b3097e45d1509ad26a9b9dc
81	spatstat.utils	3.2-3	3.2-4	https://stat.ethz.ch/CRAN/src/contrib/spatstat.utils_3.2-4.tar.gz	66c4ef985e35b719774b2ac57a84706a09ff56e6a6644bfb04620abe85fcf1dd
82	spectralGP	-	1.3.4	https://stat.ethz.ch/CRAN/src/contrib/spectralGP_1.3.4.tar.gz	cab0a0d04f15df4e30f30f060f955013b96f183f75a976294f91a2af7a53d033
83	stars	0.7-2	0.7-3	https://stat.ethz.ch/CRAN/src/contrib/stars_0.7-3.tar.gz	a691605aec9fcdb7d05c2db64c0d4f48fa608702388f2310888d595b7dfe1f19
84	statmod	-	1.5.2	https://stat.ethz.ch/CRAN/src/contrib/statmod_1.5.2.tar.gz	5f83d82043c5e26f1048fc0139580da1b7e40becf95fb4cb26ed3afcd46a581d
85	stringi	1.8.7	1.8.9	https://stat.ethz.ch/CRAN/src/contrib/stringi_1.8.9.tar.gz	427fcebd281d7ea850becce75e0807576dd394a723a814b2d487419b93275a33
86	survival	3.8-6	3.8-11	https://stat.ethz.ch/CRAN/src/contrib/survival_3.8-11.tar.gz	4a87aea323d477e142c36601509f3771f150b441df6db75537ea1777e6546888
87	systemfonts	-	1.3.2	https://stat.ethz.ch/CRAN/src/contrib/systemfonts_1.3.2.tar.gz	828a1780e540bd05107cd0a1ddfac6727de8aef1d6d82b43591dabaf753dd135
88	tensorA	-	0.36.2.1	https://stat.ethz.ch/CRAN/src/contrib/tensorA_0.36.2.1.tar.gz	06588261fe7dff6a8edafe2b9d436b39a3b46c754f2ed327ae6322561a617db7
89	terra	1.9-27	1.9-46	https://stat.ethz.ch/CRAN/src/contrib/terra_1.9-46.tar.gz	afee05449f42c232b258b471531943be51b9097a010fa17d61492bf23f23fbc9
90	textshaping	-	1.0.5	https://stat.ethz.ch/CRAN/src/contrib/textshaping_1.0.5.tar.gz	12209d5535884b8b49bb56de10996cd797f806f44c691eefae2e8eb9786443dd
91	tzdb	-	0.5.0	https://stat.ethz.ch/CRAN/src/contrib/tzdb_0.5.0.tar.gz	380d5237dbfa722fddb7d1d9ad8520a2b26331dbbb77d51850ded332fcf347db
92	whisker	-	0.4.1	https://stat.ethz.ch/CRAN/src/contrib/whisker_0.4.1.tar.gz	bf5151494508032f68ac41e211bda80da9087c65c7068ffdd12f16669bf1f2bc
93	withr	3.0.2	3.0.3	https://stat.ethz.ch/CRAN/src/contrib/withr_3.0.3.tar.gz	d86c6454164fc85678bfc85e2a6cce42f7461d45fa9a87de71f376e7956c991e
94	fmesher	0.7.0	0.8.0	https://stat.ethz.ch/CRAN/src/contrib/fmesher_0.8.0.tar.gz	d98e310760a19d1ffd92cedce0460a45cfc3d5d228991d07b0a7627a7b81995c
95	inlabru	2.14.1	2.15.0	https://stat.ethz.ch/CRAN/src/contrib/inlabru_2.15.0.tar.gz	488deb69484a668a38325f3dd9c608d466e280f5479f641c3e387d440b68da13
96	rSPDE	2.5.2	2.6.0	https://stat.ethz.ch/CRAN/src/contrib/rSPDE_2.6.0.tar.gz	d705406dc30ab46e6dc20f0f5566c747ba65fdf816d5ec230671ed1ea96991e9
97	xfun	0.57	0.60	https://stat.ethz.ch/CRAN/src/contrib/xfun_0.60.tar.gz	6f5d4fe2067bade6d7b33916f86d756a017c068296c885a6e22c30b557b84597
98	knitr	1.51	1.52	https://stat.ethz.ch/CRAN/src/contrib/knitr_1.52.tar.gz	bdd66a02dfba08a4c644b38a6ae08f6ba915c16d6b6ab6a188ec193c35905ff2
99	htmlTable	-	2.5.0	https://stat.ethz.ch/CRAN/src/contrib/htmlTable_2.5.0.tar.gz	0f61b0f27408fefc09f17fa3270c8f26d10a1e5a7f0dd26c203d3f961268d828
100	litedown	-	0.11	https://stat.ethz.ch/CRAN/src/contrib/litedown_0.11.tar.gz	161d9bf1359d69bf4aa8b2d755db2b722a844a90554978612e0d4198931d574d
