Package	Version	LibPath	Priority
carData	3.0-6	/home/phili/R/library	NA
checkmate	2.3.4	/home/phili/R/library	NA
CircStats	0.2-7	/home/phili/R/library	NA
classInt	0.4-11	/home/phili/R/library	NA
cli	3.6.6	/home/phili/R/library	NA
clipr	0.8.1	/home/phili/R/library	NA
coda	0.19-4.1	/home/phili/R/library	NA
colorspace	2.1-2	/home/phili/R/library	NA
commonmark	2.0.0	/home/phili/R/library	NA
compositions	2.0-9	/home/phili/R/library	NA
CompQuadForm	1.4.4	/home/phili/R/library	NA
corpcor	1.6.10	/home/phili/R/library	NA
corrplot	0.95	/home/phili/R/library	NA
covr	3.6.5	/home/phili/R/library	NA
cowplot	1.2.0	/home/phili/R/library	NA
cpp11	0.5.5	/home/phili/R/library	NA
crayon	1.5.3	/home/phili/R/library	NA
credentials	2.0.3	/home/phili/R/library	NA
crosstalk	1.2.2	/home/phili/R/library	NA
curl	7.1.0	/home/phili/R/library	NA
data.table	1.18.4	/home/phili/R/library	NA
DBI	1.3.0	/home/phili/R/library	NA
deldir	2.0-4	/home/phili/R/library	NA
DEoptimR	1.1-4	/home/phili/R/library	NA
Deriv	4.2.0	/home/phili/R/library	NA
desc	1.4.3	/home/phili/R/library	NA
devtools	2.5.2	/home/phili/R/library	NA
dfidx	0.2-0	/home/phili/R/library	NA
diffobj	0.3.6	/home/phili/R/library	NA
diffviewer	0.1.2	/home/phili/R/library	NA
digest	0.6.39	/home/phili/R/library	NA
distributional	0.8.1	/home/phili/R/library	NA
DistributionUtils	0.6-2	/home/phili/R/library	NA
doBy	4.7.1	/home/phili/R/library	NA
doParallel	1.0.17	/home/phili/R/library	NA
dotCall64	1.2	/home/phili/R/library	NA
downlit	0.4.5	/home/phili/R/library	NA
dplyr	1.2.1	/home/phili/R/library	NA
DT	0.34.0	/home/phili/R/library	NA
dtw	1.23-2	/home/phili/R/library	NA
e1071	1.7-17	/home/phili/R/library	NA
Ecdat	0.4.7	/home/phili/R/library	NA
EigenR	1.3.0	/home/phili/R/library	NA
ellipsis	0.3.3	/home/phili/R/library	NA
ergm	4.12.0	/home/phili/R/library	NA
evaluate	1.0.5	/home/phili/R/library	NA
evd	2.3-7.1	/home/phili/R/library	NA
expm	1.0-1	/home/phili/R/library	NA
fansi	1.0.7	/home/phili/R/library	NA
farver	2.1.2	/home/phili/R/library	NA
fasjem	1.2.0	/home/phili/R/library	NA
fastGHQuad	1.0.1	/home/phili/R/library	NA
fastmap	1.2.0	/home/phili/R/library	NA
fdrtool	1.2.18	/home/phili/R/library	NA
fftw	1.0-9	/home/phili/R/library	NA
fftwtools	0.9-11	/home/phili/R/library	NA
fields	17.3	/home/phili/R/library	NA
flare	1.8	/home/phili/R/library	NA
fmesher	0.7.0	/home/phili/R/library	NA
FNN	1.1.4.1	/home/phili/R/library	NA
foghorn	1.6.1	/home/phili/R/library	NA
fontawesome	0.5.3	/home/phili/R/library	NA
forcats	1.0.1	/home/phili/R/library	NA
foreach	1.5.2	/home/phili/R/library	NA
forecast	9.0.2	/home/phili/R/library	NA
Formula	1.2-5	/home/phili/R/library	NA
fracdiff	1.5-4	/home/phili/R/library	NA
FRK	2.3.2	/home/phili/R/library	NA
fs	2.1.0	/home/phili/R/library	NA
future	1.70.0	/home/phili/R/library	NA
future.apply	1.20.2	/home/phili/R/library	NA
gelnet	1.2.1	/home/phili/R/library	NA
GeneralizedHyperbolic	0.8-7	/home/phili/R/library	NA
generics	0.1.4	/home/phili/R/library	NA
geojsonsf	2.0.5	/home/phili/R/library	NA
geometries	0.2.5	/home/phili/R/library	NA
geoR	1.9-6	/home/phili/R/library	NA
gert	2.3.1	/home/phili/R/library	NA
GGally	2.4.0	/home/phili/R/library	NA
ggnewscale	0.5.2	/home/phili/R/library	NA
ggplot2	4.0.3	/home/phili/R/library	NA
ggplot2movies	0.0.1	/home/phili/R/library	NA
ggpubr	0.6.3	/home/phili/R/library	NA
ggrepel	0.9.8	/home/phili/R/library	NA
ggridges	0.5.7	/home/phili/R/library	NA
ggsci	5.0.0	/home/phili/R/library	NA
ggsignif	0.6.4	/home/phili/R/library	NA
ggstats	0.14.0	/home/phili/R/library	NA
gh	1.6.0	/home/phili/R/library	NA
GIGrvg	0.8	/home/phili/R/library	NA
gitcreds	0.1.2	/home/phili/R/library	NA
glasso	1.11	/home/phili/R/library	NA
glmnet	5.0	/home/phili/R/library	NA
globals	0.19.1	/home/phili/R/library	NA
glue	1.8.1	/home/phili/R/library	NA
gmp	0.7-5.1	/home/phili/R/library	NA
GPArotation	2026.8-2	/home/phili/R/library	NA
graph	1.90.0	/home/phili/R/library	NA
gRbase	2.0.3	/home/phili/R/library	NA
gridExtra	2.3	/home/phili/R/library	NA
gsl	2.1-9	/home/phili/R/library	NA
gstat	2.1-6	/home/phili/R/library	NA
gt	1.3.0	/home/phili/R/library	NA
gtable	0.3.6	/home/phili/R/library	NA
gtools	3.9.5	/home/phili/R/library	NA
hexbin	1.28.5	/home/phili/R/library	NA
highr	0.12	/home/phili/R/library	NA
highs	1.14.0-2	/home/phili/R/library	NA
Hmisc	5.2-5	/home/phili/R/library	NA
