Package	Version	LibPath	Priority
jpeg	0.1-11	/home/phili/R/library	NA
jquerylib	0.1.4	/home/phili/.local/lib/R/site-library	NA
jsonify	1.2.3	/home/phili/.local/lib/R/site-library	NA
jsonlite	2.0.0	/home/phili/.local/lib/R/site-library	NA
juicyjuice	0.1.0	/home/phili/R/library	NA
JuliaConnectoR	1.1.5	/home/phili/R/library	NA
KernSmooth	2.23-27	/home/phili/.local/lib/R/site-library	recommended
KFAS	1.6.0	/home/phili/.local/lib/R/site-library	NA
knitr	1.52	/home/phili/.local/lib/R/site-library	NA
labeling	0.4.3	/home/phili/.local/lib/R/site-library	NA
languageserver	0.3.18	/home/phili/.local/lib/R/site-library	NA
LaplacesDemon	16.1.8	/home/phili/R/library	NA
later	1.4.8	/home/phili/.local/lib/R/site-library	NA
lattice	0.23-1	/home/phili/.local/lib/R/site-library	recommended
LatticeKrig	9.4.1	/home/phili/.local/lib/R/site-library	NA
lavaan	0.7-2	/home/phili/R/library	NA
lazyeval	0.2.3	/home/phili/.local/lib/R/site-library	NA
leafem	0.2.5	/home/phili/.local/lib/R/site-library	NA
leafgl	0.2.4	/home/phili/.local/lib/R/site-library	NA
leaflegend	1.2.8	/home/phili/.local/lib/R/site-library	NA
leaflet	2.2.3	/home/phili/.local/lib/R/site-library	NA
leaflet.providers	3.0.0	/home/phili/.local/lib/R/site-library	NA
leafpop	0.1.0	/home/phili/R/library	NA
leafsync	0.1.0	/home/phili/.local/lib/R/site-library	NA
LearnBayes	2.15.2	/home/phili/R/library	NA
lifecycle	1.0.5	/home/phili/.local/lib/R/site-library	NA
linprog	0.9-6	/home/phili/.local/lib/R/site-library	NA
lintr	3.4.0	/home/phili/.local/lib/R/site-library	NA
listenv	0.10.1	/home/phili/R/library	NA
litedown	0.11	/home/phili/.local/lib/R/site-library	NA
littler	0.3.23	/usr/lib/R/site-library	NA
lme4	2.0-6	/home/phili/.local/lib/R/site-library	NA
lmtest	0.9-40	/home/phili/.local/lib/R/site-library	NA
logger	0.4.3	/home/phili/.local/lib/R/site-library	NA
logspline	2.1.22	/home/phili/R/library	NA
loo	2.10.1	/home/phili/R/library	NA
lpSolve	5.6.23	/home/phili/.local/lib/R/site-library	NA
lpSolveAPI	5.5.2.0-17.15	/home/phili/R/library	NA
lubridate	1.9.5	/home/phili/.local/lib/R/site-library	NA
lwgeom	0.2-16	/home/phili/.local/lib/R/site-library	NA
magic	1.6-1	/home/phili/.local/lib/R/site-library	NA
magrittr	2.0.5	/home/phili/.local/lib/R/site-library	NA
mapdata	2.3.1	/home/phili/R/library	NA
mapproj	1.2.12	/home/phili/R/library	NA
maps	3.4.3	/home/phili/.local/lib/R/site-library	NA
maptiles	0.11.0	/home/phili/.local/lib/R/site-library	NA
mapview	2.11.4	/home/phili/R/library	NA
marginaleffects	0.32.0	/home/phili/R/library	NA
markdown	2.0	/home/phili/.local/lib/R/site-library	NA
MASS	7.3-66	/usr/lib/R/library	recommended
Matrix	1.7-6	/usr/lib/R/library	recommended
matrixcalc	1.0-6	/home/phili/R/library	NA
MatrixModels	0.5-4	/home/phili/.local/lib/R/site-library	NA
matrixStats	1.5.0	/home/phili/.local/lib/R/site-library	NA
mcmc	0.9-8	/home/phili/R/library	NA
MCMCpack	1.7-1	/home/phili/R/library	NA
memoise	2.0.1	/home/phili/.local/lib/R/site-library	NA
metaBMA	0.6.9	/home/phili/R/library	NA
methods	4.6.1	/usr/lib/R/library	base
MetricGraph	1.6.0	/home/phili/.local/lib/R/site-library	NA
mgcv	1.9-4	/usr/lib/R/library	recommended
mgm	1.2-15	/home/phili/R/library	NA
microbenchmark	1.5.0	/home/phili/.local/lib/R/site-library	NA
micsr	0.1-5	/home/phili/R/library	NA
mime	0.13	/home/phili/.local/lib/R/site-library	NA
miniUI	0.1.2	/home/phili/R/library	NA
minqa	1.2.8	/home/phili/.local/lib/R/site-library	NA
mlogit	2.0-0	/home/phili/R/library	NA
mnormt	2.1.2	/home/phili/.local/lib/R/site-library	NA
modelr	0.1.11	/home/phili/.local/lib/R/site-library	NA
multcomp	1.4-30	/home/phili/R/library	NA
munsell	0.5.1	/home/phili/R/library	NA
mvnfast	0.2.8	/home/phili/R/library	NA
mvtnorm	1.4-2	/home/phili/.local/lib/R/site-library	NA
nanoarrow	0.9.0	/home/phili/.local/lib/R/site-library	NA
network	1.20.0	/home/phili/R/library	NA
ngspatial	1.2-2	/home/phili/R/library	NA
nlme	3.1-171	/home/phili/.local/lib/R/site-library	recommended
nloptr	2.2.1	/home/phili/.local/lib/R/site-library	NA
nnet	7.3-21	/home/phili/.local/lib/R/site-library	recommended
numDeriv	2016.8-1.1	/home/phili/.local/lib/R/site-library	NA
odbc	1.7.0	/home/phili/.local/lib/R/site-library	NA
openssl	2.4.2	/home/phili/.local/lib/R/site-library	NA
optimParallel	1.0-3	/home/phili/.local/lib/R/site-library	NA
osqp	1.0.0	/home/phili/R/library	NA
otel	0.2.0	/home/phili/.local/lib/R/site-library	NA
packrat	0.9.3	/home/phili/R/library	NA
pak	0.11.1	/home/phili/.local/lib/R/site-library	NA
parallel	4.6.1	/usr/lib/R/library	base
parallelly	1.47.0	/home/phili/R/library	NA
patchwork	1.3.2	/home/phili/.local/lib/R/site-library	NA
pbapply	1.7-5	/home/phili/.local/lib/R/site-library	NA
pbivnorm	0.6.0	/home/phili/R/library	NA
pbkrtest	0.5.5	/home/phili/.local/lib/R/site-library	NA
pcaPP	2.0-5	/home/phili/R/library	NA
pillar	1.11.1	/home/phili/.local/lib/R/site-library	NA
pixmap	0.4-14	/home/phili/.local/lib/R/site-library	NA
pkgbuild	1.4.8	/home/phili/.local/lib/R/site-library	NA
pkgconfig	2.0.3	/home/phili/.local/lib/R/site-library	NA
pkgdown	2.2.0	/home/phili/R/library	NA
pkgload	1.5.3	/home/phili/.local/lib/R/site-library	NA
PKI	0.1-15	/home/phili/R/library	NA
plyr	1.8.9	/home/phili/.local/lib/R/site-library	NA
png	0.1-9	/home/phili/.local/lib/R/site-library	NA
polyclip	1.10-7	/home/phili/.local/lib/R/site-library	NA
polynom	1.4-1	/home/phili/.local/lib/R/site-library	NA
pool	1.0.5	/home/phili/.local/lib/R/site-library	NA
posterior	1.7.0	/home/phili/R/library	NA
pracma	2.4.6	/home/phili/.local/lib/R/site-library	NA
praise	1.0.0	/home/phili/.local/lib/R/site-library	NA
prettyunits	1.2.0	/home/phili/.local/lib/R/site-library	NA
pROC	1.19.0.1	/home/phili/.local/lib/R/site-library	NA
processx	3.9.0	/home/phili/.local/lib/R/site-library	NA
profvis	0.4.0	/home/phili/R/library	NA
progress	1.2.3	/home/phili/.local/lib/R/site-library	NA
promises	1.5.0	/home/phili/.local/lib/R/site-library	NA
proxy	0.4-29	/home/phili/.local/lib/R/site-library	NA
ps	1.9.3	/home/phili/.local/lib/R/site-library	NA
psych	2.6.5	/home/phili/R/library	NA
purrr	1.2.2	/home/phili/.local/lib/R/site-library	NA
qgraph	1.10.1	/home/phili/R/library	NA
QRM	0.4-35	/home/phili/R/library	NA
quadprog	1.5-8	/home/phili/R/library	NA
quantreg	6.1	/home/phili/.local/lib/R/site-library	NA
quarto	1.5.1	/home/phili/R/library	NA
QuickJSR	1.11.0	/home/phili/R/library	NA
R.cache	0.17.0	/home/phili/.local/lib/R/site-library	NA
R.methodsS3	1.8.2	/home/phili/.local/lib/R/site-library	NA
R.oo	1.27.1	/home/phili/.local/lib/R/site-library	NA
R.utils	2.13.0	/home/phili/.local/lib/R/site-library	NA
R6	2.6.1	/home/phili/.local/lib/R/site-library	NA
ragg	1.5.2	/home/phili/R/library	NA
